"filename", "language", "C++", "LaTeX", "Markdown", "CMake", "SVG", "qml", "JSON", "CSV", "comment", "blank", "total"
"d:\study\train\RailwaySystem\qml\components\TimetableView.qml", "qml", 0, 0, 0, 0, 0, 511, 0, 0, 72, 55, 638
"d:\study\train\RailwaySystem\qml\components\TrainCard.qml", "qml", 0, 0, 0, 0, 0, 120, 0, 0, 2, 16, 138
"d:\study\train\RailwaySystem\qml\components\test.qml", "qml", 0, 0, 0, 0, 0, 83, 0, 0, 15, 18, 116
"d:\study\train\RailwaySystem\qml\main.qml", "qml", 0, 0, 0, 0, 0, 83, 0, 0, 7, 11, 101
"d:\study\train\RailwaySystem\qml\pages\AccountManagement.qml", "qml", 0, 0, 0, 0, 0, 77, 0, 0, 8, 9, 94
"d:\study\train\RailwaySystem\qml\pages\AddPassengerDialog.qml", "qml", 0, 0, 0, 0, 0, 173, 0, 0, 13, 16, 202
"d:\study\train\RailwaySystem\qml\pages\AddPassingStationDialog.qml", "qml", 0, 0, 0, 0, 0, 187, 0, 0, 19, 28, 234
"d:\study\train\RailwaySystem\qml\pages\AddUserDialog.qml", "qml", 0, 0, 0, 0, 0, 143, 0, 0, 10, 17, 170
"d:\study\train\RailwaySystem\qml\pages\EditPassengerInfoDialog.qml", "qml", 0, 0, 0, 0, 0, 198, 0, 0, 11, 18, 227
"d:\study\train\RailwaySystem\qml\pages\EditPassingStationDialog.qml", "qml", 0, 0, 0, 0, 0, 297, 0, 0, 19, 25, 341
"d:\study\train\RailwaySystem\qml\pages\EditSeatTemplateDialog.qml", "qml", 0, 0, 0, 0, 0, 703, 0, 0, 85, 95, 883
"d:\study\train\RailwaySystem\qml\pages\Login.qml", "qml", 0, 0, 0, 0, 0, 292, 0, 0, 17, 22, 331
"d:\study\train\RailwaySystem\qml\pages\MyOrders.qml", "qml", 0, 0, 0, 0, 0, 291, 0, 0, 28, 28, 347
"d:\study\train\RailwaySystem\qml\pages\OrderConfirm.qml", "qml", 0, 0, 0, 0, 0, 458, 0, 0, 64, 60, 582
"d:\study\train\RailwaySystem\qml\pages\OrderManagement.qml", "qml", 0, 0, 0, 0, 0, 292, 0, 0, 28, 28, 348
"d:\study\train\RailwaySystem\qml\pages\PassengerInfo.qml", "qml", 0, 0, 0, 0, 0, 356, 0, 0, 21, 32, 409
